name,serial_number,block_name
La France Pink,1,VIVID PINK
Carmine,1,VIVID PINK
Carmine Rose,1,VIVID PINK
Carmine Rose,1,VIVID PINK
Dawn Pink,1,VIVID PINK
Pink,1,VIVID PINK
Rose,1,VIVID PINK
Roseus,1,VIVID PINK
Arbutus,2,STRONG PINK
Carnation Rose,2,STRONG PINK
Crushed Strawberry,2,STRONG PINK
Hermosa Pink,2,STRONG PINK
Nymph (Pink),2,STRONG PINK
Orchid Pink,2,STRONG PINK
Peach Blossom [Pink],2,STRONG PINK
Peach Blossom [Red],2,STRONG PINK
Rose d’Althoea _ 117,2,STRONG PINK
Sea Pink . 217,2,STRONG PINK
Camellia Pink,2,STRONG PINK
Camellia Rose,2,STRONG PINK
Cameo Pink,2,STRONG PINK
"Charm,",2,STRONG PINK
Debutante Pink,2,STRONG PINK
Flamingo Pink,2,STRONG PINK
Rose Leaf,2,STRONG PINK
Salome Pink,2,STRONG PINK
Vesta,2,STRONG PINK
Zest Pink,2,STRONG PINK
Alizarine Pink,2,STRONG PINK
Hermosa Pink,2,STRONG PINK
Vinaceous,2,STRONG PINK
Geranium Pink m . 7y,2,STRONG PINK
Light Cherry Rose,2,STRONG PINK
Shrimp Pink m. . 6y,2,STRONG PINK
Coral,2,STRONG PINK
Rose Pink,2,STRONG PINK
Carmine,2,STRONG PINK
Carmine Rose,2,STRONG PINK
Dull Rose,2,STRONG PINK
Griseo-Roseus,2,STRONG PINK
Pink,2,STRONG PINK
Pink,2,STRONG PINK
Pink,2,STRONG PINK
Rose,2,STRONG PINK
Rose Pink,2,STRONG PINK
Roseus,2,STRONG PINK
Salmon Rose,2,STRONG PINK
Arbutus,2,STRONG PINK
Bachelor Button,2,STRONG PINK
Begonia,2,STRONG PINK
Bermuda,2,STRONG PINK
Candy Pink,2,STRONG PINK
Confetti,2,STRONG PINK
Crushed Strawberry,2,STRONG PINK
France Rose,2,STRONG PINK
Gaiety,2,STRONG PINK
Geranium Pink,2,STRONG PINK
Laurel Pink,2,STRONG PINK
Moss Rose,2,STRONG PINK
Pink Coral,2,STRONG PINK
Radiance,2,STRONG PINK
Rambler Rose,2,STRONG PINK
Rose Dorge,2,STRONG PINK
Rose Nilsson,2,STRONG PINK
Rose Marie. _ _ 212,2,STRONG PINK
RoseSoirge,2,STRONG PINK
Royal Pink. __ 214,2,STRONG PINK
Springtime,2,STRONG PINK
Strawberry Pink,2,STRONG PINK
Sunglow,2,STRONG PINK
Sweet William _ 119,2,STRONG PINK
Watermelon,2,STRONG PINK
Cerise Rose,2,STRONG PINK
Coral,2,STRONG PINK
Coral Rose,2,STRONG PINK
Firefly,2,STRONG PINK
Rose Glory,2,STRONG PINK
Tango,2,STRONG PINK
Alizarine Pink,2,STRONG PINK
Eosine Pink,2,STRONG PINK
Geranium Pink,2,STRONG PINK
Jasper Pink,2,STRONG PINK
Light Jasper Red,2,STRONG PINK
Orange-Vinaceous,2,STRONG PINK
Vinaceous,2,STRONG PINK
Bright Rose,2,STRONG PINK
Cherry Rose,2,STRONG PINK
Colonial Rose,2,STRONG PINK
Light Cherry Rose,2,STRONG PINK
Light Rose,2,STRONG PINK
Shrimp Pink gm _ _ SVz ia,2,STRONG PINK
Peach Blossom,2,STRONG PINK
Sea Pink,2,STRONG PINK
Shrimp Pink,2,STRONG PINK
Camellia Rose,2,STRONG PINK
Carmine,2,STRONG PINK
Carmine Rose,2,STRONG PINK
Carmine Rose,2,STRONG PINK
Corallinus,2,STRONG PINK
Deep Rose,2,STRONG PINK
Empire Rose,2,STRONG PINK
Griseo-Roseus,2,STRONG PINK
Incarnatus,2,STRONG PINK
Lilac Rose,2,STRONG PINK
Pink,2,STRONG PINK
Pink,2,STRONG PINK
Porcelain Rose,2,STRONG PINK
Red,2,STRONG PINK
Rose,2,STRONG PINK
Rose Carmine,2,STRONG PINK
Rose Red,2,STRONG PINK
Roseus,2,STRONG PINK
Scarlet,2,STRONG PINK
Spinel Pink,2,STRONG PINK
Vinosus,2,STRONG PINK
Almond Blossom,4,LIGHT PINK
Pink 3,4,LIGHT PINK
Pink 4,4,LIGHT PINK
Rose Breath,4,LIGHT PINK
Cameo,4,LIGHT PINK
Charm,4,LIGHT PINK
Coral Blush,4,LIGHT PINK
Crab Pink,4,LIGHT PINK
Desert Brown,4,LIGHT PINK
Dolly Varden,4,LIGHT PINK
Evening Glow,4,LIGHT PINK
Heavenly Pink,4,LIGHT PINK
Orchid Pink,4,LIGHT PINK
Pink Lily,4,LIGHT PINK
Rose Morn,4,LIGHT PINK
Rosy Pink,4,LIGHT PINK
Sun Rose,4,LIGHT PINK
Vesta,4,LIGHT PINK
Livid Pink,4,LIGHT PINK
Pale Purplish Vinaceous,4,LIGHT PINK
Baby Pink,4,LIGHT PINK
Pale Pink,4,LIGHT PINK
Baby Pink,4,LIGHT PINK
Pale Purplish Vinaceous,4,LIGHT PINK
Pale Vinaceous,4,LIGHT PINK
Vinaceous,4,LIGHT PINK
Vinaceous-Lavender,4,LIGHT PINK
Baby Pink,4,LIGHT PINK
Blossom Pink,4,LIGHT PINK
Cherry Pink,4,LIGHT PINK
Geranium Pink,4,LIGHT PINK
Pale Pink,4,LIGHT PINK
Pinkgm _ 6J4ea,4,LIGHT PINK
Rose Mist,4,LIGHT PINK
Rose Pink,4,LIGHT PINK
Arbutus Pink,4,LIGHT PINK
Chalk Pink,4,LIGHT PINK
Pastel Pink,4,LIGHT PINK
Griseo-Lilacinus,4,LIGHT PINK
Griseo-Roseus,4,LIGHT PINK
Incarnatus,4,LIGHT PINK
Moderate Pink,4,LIGHT PINK
Pink,4,LIGHT PINK
Red,4,LIGHT PINK
Rose,4,LIGHT PINK
Rose Lake,4,LIGHT PINK
Subvinosus,4,LIGHT PINK
Griseo-Roseus,4,LIGHT PINK
Pink,4,LIGHT PINK
Rose,4,LIGHT PINK
Salmon Rose .. 6,4,LIGHT PINK
Subvinosus,4,LIGHT PINK
Venetian Pink,4,LIGHT PINK
Bridal Rose,6,DARK PINK
Lotus,6,DARK PINK
Magnolia. .. 318,6,DARK PINK
Moss Rose,6,DARK PINK
Vassar Rose _ 312,6,DARK PINK
Wild Rose. . 317,6,DARK PINK
Almond Blossom,6,DARK PINK
Almond (Pink),6,DARK PINK
Aurore,6,DARK PINK
Blossom,6,DARK PINK
Corinthian Pink,6,DARK PINK
Dawn,6,DARK PINK
Debutante Pink,6,DARK PINK
Hermosa Pink,6,DARK PINK
Hydrangea Pink,6,DARK PINK
La France Pink,6,DARK PINK
Lilac,6,DARK PINK
Lilaceous,6,DARK PINK
Lilas,6,DARK PINK
Nymph (Pinkl,6,DARK PINK
Orient,6,DARK PINK
Peach Blossom IPink),6,DARK PINK
Peach Blossom (Red],6,DARK PINK
Pink 4,6,DARK PINK
Pink 5,6,DARK PINK
Pink Pearl,6,DARK PINK
RScamier,6,DARK PINK
Rose Hermosa,6,DARK PINK
Roseleaf,6,DARK PINK
Sea Pink ___ 217,6,DARK PINK
Venetian Pink,6,DARK PINK
Dignity,6,DARK PINK
Evening Haze,6,DARK PINK
Light Mauve,6,DARK PINK
Mountain Haze,6,DARK PINK
Orchid Pink,6,DARK PINK
Rose Cloud,6,DARK PINK
Vesta,6,DARK PINK
Chatenay Pink,6,DARK PINK
Corinthian Pink,6,DARK PINK
Flesh Color,6,DARK PINK
Livid Pink,6,DARK PINK
Ashes of Roses,6,DARK PINK
Old Rose,6,DARK PINK
Valencia Rose,6,DARK PINK
Deep Vinaceous,6,DARK PINK
Light Corinthian Red,6,DARK PINK
Vinaceous,6,DARK PINK
Dusty Rose g __ 7gc,6,DARK PINK
Light Colonial Rose,6,DARK PINK
Old Rose,6,DARK PINK
Old Rose,6,DARK PINK
Carmine,6,DARK PINK
Griseo-Roseus,6,DARK PINK
Light Red,6,DARK PINK
Orange-Red,6,DARK PINK
Pink,6,DARK PINK
Rose,6,DARK PINK
Vermilion,6,DARK PINK
Vinosus,6,DARK PINK
Almond Blossom,7,PALE PINK
Almond [Pink,7,PALE PINK
Pink 2,7,PALE PINK
Pink 3,7,PALE PINK
Rose Breath,7,PALE PINK
Zephyr,7,PALE PINK
Pochere,7,PALE PINK
Crab Pink,7,PALE PINK
Rose Morn,7,PALE PINK
Rose Pearl,7,PALE PINK
Rose Shadow,7,PALE PINK
Livid Pink,7,PALE PINK
Pale Brownish Vinaceous,7,PALE PINK
Grayish Pink,7,PALE PINK
Griseo-Roseus,7,PALE PINK
Pink,7,PALE PINK
Subvinosus,7,PALE PINK
Almond Blossom,8,GRAYISH PINK
Almond [Pink],8,GRAYISH PINK
Livid Pink,8,GRAYISH PINK
Zephyr,8,GRAYISH PINK
Silver Pink,8,GRAYISH PINK
Light Brownish Vinaceous,8,GRAYISH PINK
Livid Pink,8,GRAYISH PINK
Pale Brownish Vinaceous,8,GRAYISH PINK
Pale Vinaceous-Drab,8,GRAYISH PINK
Clo id Pink,8,GRAYISH PINK
Ro‘ e Mist,8,GRAYISH PINK
Griseo-Roseus,8,GRAYISH PINK
Pink,8,GRAYISH PINK
Red,8,GRAYISH PINK
Red Brown,8,GRAYISH PINK
Red Lilac,8,GRAYISH PINK
Subvinoso-Griseus,8,GRAYISH PINK
Subvinosus,8,GRAYISH PINK
Peach Gray,9,PINKISH WHITE
Pearl Cream,9,PINKISH WHITE
Pewter Cream,9,PINKISH WHITE
Rose Ash,9,PINKISH WHITE
Pink Tint,9,PINKISH WHITE
Shell Pink,9,PINKISH WHITE
Reddish White,9,PINKISH WHITE
White,9,PINKISH WHITE
Opal Mauve,10,PINKISH GRAY
Pink 1,10,PINKISH GRAY
Gray Light,10,PINKISH GRAY
Moonmist,10,PINKISH GRAY
Peach Gray,10,PINKISH GRAY
Peach Sand,10,PINKISH GRAY
Pewter,10,PINKISH GRAY
Pale Brownish Drab,10,PINKISH GRAY
Pale Ecru-Drab,10,PINKISH GRAY
Pale Grayish Vinaceous,10,PINKISH GRAY
Pale Vinaceous-Drab,10,PINKISH GRAY
Pale Vinaceous-Fawn,10,PINKISH GRAY
Pallid Brownish Drab,10,PINKISH GRAY
Pallid Mouse Gray,10,PINKISH GRAY
Pussywillow Gray,10,PINKISH GRAY
Gull,10,PINKISH GRAY
Brown,10,PINKISH GRAY
Dull Orange,10,PINKISH GRAY
Fumosus,10,PINKISH GRAY
Light Gray,10,PINKISH GRAY
Lilac,10,PINKISH GRAY
Lilac Brown,10,PINKISH GRAY
Pinkish Gray,10,PINKISH GRAY
Reddish Gray,10,PINKISH GRAY
Submurinus,10,PINKISH GRAY
Subvinoso-Griseus,10,PINKISH GRAY
Subvinosus,10,PINKISH GRAY
Vinoso-Bubalinus,10,PINKISH GRAY
White,10,PINKISH GRAY
Afghan Red,11,VIVID RED
Alkermes,11,VIVID RED
Animal Rouge,11,VIVID RED
Artillery..1,11,VIVID RED
Ball Lake,11,VIVID RED
Bastard Saffron,11,VIVID RED
Cardinal (Red),11,VIVID RED
Carmine,11,VIVID RED
Carmine Lake,11,VIVID RED
Carthamus Red,11,VIVID RED
Carthamus Rose,11,VIVID RED
Castilian Red,11,VIVID RED
Checkerberry,11,VIVID RED
Chinese Lake,11,VIVID RED
Chinese Rouge,11,VIVID RED
Chinese Vermilion,11,VIVID RED
Coccineous,11,VIVID RED
Cochineal,11,VIVID RED
Coquelicot,11,VIVID RED
Crimson Madder,11,VIVID RED
Dutch Scarlet,11,VIVID RED
Dyer's Saffron,11,VIVID RED
Fez,11,VIVID RED
Fire Scarlet,11,VIVID RED
Flaming Maple,11,VIVID RED
Florentine Lake,11,VIVID RED
Folly,11,VIVID RED
French Scarlet,11,VIVID RED
Geranium Lake,11,VIVID RED
Geranium Petal,11,VIVID RED
Gobelin Scarlet,11,VIVID RED
"grain, in grain",11,VIVID RED
Granat,11,VIVID RED
Granatflower,11,VIVID RED
Grayn,11,VIVID RED
Greyn,11,VIVID RED
Hamburg Lake,11,VIVID RED
Harrison Red,11,VIVID RED
Hockey,11,VIVID RED
Hypernic Red,11,VIVID RED
Jack Rose,11,VIVID RED
Kermes,11,VIVID RED
Kermes Berries,11,VIVID RED
Lake,11,VIVID RED
Leaf Red,11,VIVID RED
Lincoln Red,11,VIVID RED
Munich Lake,11,VIVID RED
Nacarat,11,VIVID RED
Nacarine,11,VIVID RED
Pimento,11,VIVID RED
Poinsettia,11,VIVID RED
Pomegranate Blossom,11,VIVID RED
Ponceau,11,VIVID RED
Portugese Red,11,VIVID RED
Red Cross,11,VIVID RED
Red in plates,11,VIVID RED
Roman Lake,11,VIVID RED
Rose Carthame,11,VIVID RED
Rouge Vegetal,11,VIVID RED
Safflor. 1,11,VIVID RED
Safflower Red,11,VIVID RED
Saffor,11,VIVID RED
Salvia,11,VIVID RED
Scarlet,11,VIVID RED
Scarlet in grain,11,VIVID RED
Scarlet Red,11,VIVID RED
Signal Red,11,VIVID RED
Spanish Red,11,VIVID RED
Spark,11,VIVID RED
Vegetable Red,11,VIVID RED
Vegetable Rouge,11,VIVID RED
Venetian Lake,11,VIVID RED
Venetian Scarlet,11,VIVID RED
Vienna Lake,11,VIVID RED
Crimson Glory,11,VIVID RED
Flame,11,VIVID RED
Spectra Red,11,VIVID RED
Tomato Red,11,VIVID RED
Torchlight,11,VIVID RED
Carmine,11,VIVID RED
Rose Red,11,VIVID RED
Scarlet-Red,11,VIVID RED
Spectrum Red,11,VIVID RED
American Beauty,11,VIVID RED
Bright Cherry Red,11,VIVID RED
Bright Red,11,VIVID RED
Cardinal g . iy,11,VIVID RED
Cherry Red,11,VIVID RED
Deep Red,11,VIVID RED
Flame,11,VIVID RED
Light Tomato Red g. . 6,11,VIVID RED
Lobster Red g .. Sy na,11,VIVID RED
Poppy Red g ... By pa,11,VIVID RED
Rose Redg,11,VIVID RED
Scarlet,11,VIVID RED
Tomato Red g __ By pa,11,VIVID RED
Apple Red,11,VIVID RED
Carmine,11,VIVID RED
Geranium,11,VIVID RED
Old Glory Red,11,VIVID RED
Pimento,11,VIVID RED
Scarlet,11,VIVID RED
Blood Red,11,VIVID RED
Bright Red,11,VIVID RED
Bright Yellowish Red,11,VIVID RED
Brown Red,11,VIVID RED
Cardinal Red,11,VIVID RED
Carmine,11,VIVID RED
Carmine,11,VIVID RED
Carmine Lake,11,VIVID RED
Carmine Rose,11,VIVID RED
Cherry,11,VIVID RED
Crimson,11,VIVID RED
Crimson,11,VIVID RED
Current Red,11,VIVID RED
Dark Carmine,11,VIVID RED
Fire Red (Y&D),11,VIVID RED
Geranium Lake,11,VIVID RED
Insignia Red (AN),11,VIVID RED
Orient Red,11,VIVID RED
Red,11,VIVID RED
Red,11,VIVID RED
Red (BuOrd),11,VIVID RED
Red (MA)—,11,VIVID RED
Red (USA),11,VIVID RED
Red-Orange,11,VIVID RED
Red Striping (N),11,VIVID RED
Red Striping (Vermilion),11,VIVID RED
(MA),11,VIVID RED
Rose Brown,11,VIVID RED
Rose Red,11,VIVID RED
Ruber,11,VIVID RED
Scarlet,11,VIVID RED
Scarlet,11,VIVID RED
Signal Red,11,VIVID RED
Turkey Red,11,VIVID RED
Vermilion (PC),11,VIVID RED
Vermilion,11,VIVID RED
Animal Rouge,12,STRONG RED
Ball Lake,12,STRONG RED
Blood Red,12,STRONG RED
Bonfire,12,STRONG RED
Brigand,12,STRONG RED
Buccaneer,12,STRONG RED
Buddha,12,STRONG RED
Cadmium Carmine,12,STRONG RED
Cadmium Vermilion,12,STRONG RED
Camellia,12,STRONG RED
Carmine,12,STRONG RED
Carmine Lake,12,STRONG RED
Carnival Red,12,STRONG RED
Chinese Lake,12,STRONG RED
Currant [Red],12,STRONG RED
Devil’s Red,12,STRONG RED
Dewey Red,12,STRONG RED
English Red,12,STRONG RED
English Vermilion,12,STRONG RED
Firefly,12,STRONG RED
Flaming Maple,12,STRONG RED
Flash,12,STRONG RED
Florentine Lake,12,STRONG RED
Folly,12,STRONG RED
Geranium,12,STRONG RED
Gladiolus,12,STRONG RED
Golf [Red],12,STRONG RED
Goya,12,STRONG RED
Hamburg Lake,12,STRONG RED
Holly Berry,12,STRONG RED
Kinema Red,12,STRONG RED
Lake,12,STRONG RED
Madder,12,STRONG RED
Madder Lake,12,STRONG RED
Madder Red,12,STRONG RED
Munich Lake,12,STRONG RED
Orient Red,12,STRONG RED
Oriental Red,12,STRONG RED
Para Red,12,STRONG RED
Parma Red,12,STRONG RED
Permanent Red,12,STRONG RED
Perma Red,12,STRONG RED
Pirate,12,STRONG RED
Poinsettia,12,STRONG RED
Portable Red,12,STRONG RED
Red Cross,12,STRONG RED
Redfeather,12,STRONG RED
Roman Lake,12,STRONG RED
Rose Neyron,12,STRONG RED
Sanguine,12,STRONG RED
Scarlet Lake,12,STRONG RED
Spinel Red,12,STRONG RED
Tommy Red,12,STRONG RED
Troubador Red,12,STRONG RED
Venetian Lake,12,STRONG RED
Vienna Lake,12,STRONG RED
Buccaneer,12,STRONG RED
Flame,12,STRONG RED
Flash,12,STRONG RED
Fuchsia,12,STRONG RED
Torchlight,12,STRONG RED
Toreador,12,STRONG RED
Nopal Red,12,STRONG RED
Bright Cherry Red,12,STRONG RED
Bright Red gm . ly na,12,STRONG RED
Bright Rose,12,STRONG RED
Cardinal m . ly pa,12,STRONG RED
Cherry,12,STRONG RED
Cherry Red,12,STRONG RED
Flame m . BVi na,12,STRONG RED
Geranium Red gm. Vy na,12,STRONG RED
Geranium Rose g . ly la,12,STRONG RED
Light Cherry Red,12,STRONG RED
Light Red g .. Vy la,12,STRONG RED
Light Tomato Red m_ Gy na,12,STRONG RED
Lobster Red m . By na,12,STRONG RED
Scarlet,12,STRONG RED
Scarlet (USA),12,STRONG RED
Brown Carmine,12,STRONG RED
Carmine,12,STRONG RED
Carmine Lake,12,STRONG RED
Carmine Rose,12,STRONG RED
Claret Rose... . H021,12,STRONG RED
Crimson,12,STRONG RED
Delft Rose,12,STRONG RED
Jasper Red,12,STRONG RED
Red,12,STRONG RED
Red,12,STRONG RED
Rose,12,STRONG RED
Rose Opal,12,STRONG RED
Ruber,12,STRONG RED
Scarlet,12,STRONG RED
Vermilion,12,STRONG RED
Antique Ruby,13,DEEP RED
Apple-fallow,13,DEEP RED
Barberry,13,DEEP RED
Brickdust,13,DEEP RED
Burnt Carmine,13,DEEP RED
Burnt Crimson Lake,13,DEEP RED
Burnt Lake,13,DEEP RED
Cadmium Purple,13,DEEP RED
Chianti,13,DEEP RED
Chimney Red,13,DEEP RED
Chrysanthemum,13,DEEP RED
Flaming Maple,13,DEEP RED
Garnet Red,13,DEEP RED
Hollywood,13,DEEP RED
Old Red,13,DEEP RED
Oxheart,13,DEEP RED
Peony Red,13,DEEP RED
Purple Lake,13,DEEP RED
Red Banana,13,DEEP RED
Turkish Crescent Red,13,DEEP RED
Venetian Rose,13,DEEP RED
Wild Strawberry,13,DEEP RED
Autumn Glory,13,DEEP RED
Garnet Brown,13,DEEP RED
Ox-blood Red,13,DEEP RED
Cardinal g . 1,13,DEEP RED
Cherry Wine,13,DEEP RED
Cranberry,13,DEEP RED
Dark Red,13,DEEP RED
Deep Red,13,DEEP RED
Rose Red,13,DEEP RED
Rose Wine,13,DEEP RED
Ruby,13,DEEP RED
Strawberry g. . 7 A nc,13,DEEP RED
Tomato Red g .. SA pe,13,DEEP RED
Wine Red,13,DEEP RED
Cardinal,13,DEEP RED
Carmine,13,DEEP RED
Chrysanthemum Crimson,13,DEEP RED
Claret Brown,13,DEEP RED
Henna Brown,13,DEEP RED
Indian Lake,13,DEEP RED
Pansy Purple,13,DEEP RED
Red,13,DEEP RED
Reddish Brown,13,DEEP RED
Rose,13,DEEP RED
Rose Brown,13,DEEP RED
Ruby Red,13,DEEP RED
Sanguineus,13,DEEP RED
Brown Carmine,14,VERY DEEP RED
Maroon,14,VERY DEEP RED
Red,14,VERY DEEP RED
Reddish Brown,14,VERY DEEP RED
Rose Brown,14,VERY DEEP RED
Adrianople Red,15,MODERATE RED
Amarylis,15,MODERATE RED
Apple-fallow,15,MODERATE RED
Aurora Red,15,MODERATE RED
Barberry,15,MODERATE RED
Barwood,15,MODERATE RED
Begonia Rose,15,MODERATE RED
Bellemonte,15,MODERATE RED
Blaze,15,MODERATE RED
Blood Red,15,MODERATE RED
Bordeaux [Red],15,MODERATE RED
Brazilwood Red,15,MODERATE RED
Brigand,15,MODERATE RED
Bronze Red,15,MODERATE RED
Buccaneer,15,MODERATE RED
Buddha,15,MODERATE RED
Burnt Carmine,15,MODERATE RED
Burnt Crimson Lake,15,MODERATE RED
Burnt Lake,15,MODERATE RED
Cadmium Purple,15,MODERATE RED
Cadmium Vermilion,15,MODERATE RED
Caliaturwood,15,MODERATE RED
Cambridge Red,15,MODERATE RED
Camellia,15,MODERATE RED
Camwood,15,MODERATE RED
Carnation [Red] _ 414,15,MODERATE RED
Cerise,15,MODERATE RED
Chatemuc,15,MODERATE RED
Cherry Blossom,15,MODERATE RED
Chimney Red,15,MODERATE RED
Claret [Red],15,MODERATE RED
Confetti,15,MODERATE RED
Copper Rose,15,MODERATE RED
Coralbell,15,MODERATE RED
Crimson Lake,15,MODERATE RED
Devil’s Red,15,MODERATE RED
Dewey Red,15,MODERATE RED
Dianthus,15,MODERATE RED
Doge,15,MODERATE RED
Dolly Pink,15,MODERATE RED
Ember,15,MODERATE RED
Emberglow,15,MODERATE RED
English Red,15,MODERATE RED
Eugenia Red,15,MODERATE RED
Fernambucowood,15,MODERATE RED
Firefly,15,MODERATE RED
Flaming Maple,15,MODERATE RED
Flash,15,MODERATE RED
Flirt,15,MODERATE RED
Fragonard,15,MODERATE RED
Golf [Red],15,MODERATE RED
Gypsy Red ___ 516,15,MODERATE RED
Harvard Crimson,15,MODERATE RED
Hebe,15,MODERATE RED
Holly Berry,15,MODERATE RED
Hollywood,15,MODERATE RED
Jacqueminot,15,MODERATE RED
Jasper Red,15,MODERATE RED
Jockey,15,MODERATE RED
Laurel Pink,15,MODERATE RED
Levant Red,15,MODERATE RED
Limawood,15,MODERATE RED
Madder,15,MODERATE RED
Madder Carmine,15,MODERATE RED
Madder Red,15,MODERATE RED
Mayflower,15,MODERATE RED
Mephisto,15,MODERATE RED
Monsoreau,15,MODERATE RED
Narrawood,15,MODERATE RED
Nicaraguawood,15,MODERATE RED
Old Coral,15,MODERATE RED
Old Red,15,MODERATE RED
Orchil (acid bath),15,MODERATE RED
Para Red,15,MODERATE RED
Parma Red,15,MODERATE RED
Peachwood,15,MODERATE RED
Pepper Red,15,MODERATE RED
Permanent Red,15,MODERATE RED
Perma Red,15,MODERATE RED
Pernambucowood,15,MODERATE RED
Pomegranate Purple . . 416,15,MODERATE RED
Portable Red,15,MODERATE RED
Purple Lake,15,MODERATE RED
Purple Madder,15,MODERATE RED
Purple Rubiate,15,MODERATE RED
Raspberry Glace,15,MODERATE RED
Raspberry Red,15,MODERATE RED
Redfeather,15,MODERATE RED
Redwood (soluble),15,MODERATE RED
Redwood (insoluble),15,MODERATE RED
Rose Dor6e,15,MODERATE RED
Rose of Picardy,15,MODERATE RED
Rose of Sharon,15,MODERATE RED
Rosevale,15,MODERATE RED
Sandalwood,15,MODERATE RED
Sanderswood,15,MODERATE RED
Sanguine,15,MODERATE RED
Santalwood,15,MODERATE RED
Sappanwood,15,MODERATE RED
Scarlet Lake,15,MODERATE RED
Sheik,15,MODERATE RED
Sultan,15,MODERATE RED
Sunglow,15,MODERATE RED
Swiss Rose,15,MODERATE RED
Turkey Red,15,MODERATE RED
Turkish Red,15,MODERATE RED
Venetian Rose,15,MODERATE RED
Watermelon,15,MODERATE RED
Weigelia,15,MODERATE RED
Zinnia,15,MODERATE RED
Heart’s Desire,15,MODERATE RED
Old Coral,15,MODERATE RED
Rapture,15,MODERATE RED
Rust Rose,15,MODERATE RED
Spitfire,15,MODERATE RED
Eugenia Red,15,MODERATE RED
Jasper Red,15,MODERATE RED
Light Jasper Red,15,MODERATE RED
Old Rose,15,MODERATE RED
Pompeian Red,15,MODERATE RED
"Taylor, Knoche,",15,MODERATE RED
Granville,15,MODERATE RED
Brick Red,15,MODERATE RED
Cardinal,15,MODERATE RED
Catchup,15,MODERATE RED
Cherry,15,MODERATE RED
Cherry Red,15,MODERATE RED
Cherry Rose,15,MODERATE RED
Colonial Rose,15,MODERATE RED
Coral,15,MODERATE RED
Coral Rose,15,MODERATE RED
Cranberry,15,MODERATE RED
Deep Red,15,MODERATE RED
Geranium Rose,15,MODERATE RED
Light Red,15,MODERATE RED
Rose,15,MODERATE RED
Rose Red,15,MODERATE RED
Rose Wine,15,MODERATE RED
Ruby,15,MODERATE RED
Strawberry,15,MODERATE RED
Tomato Red,15,MODERATE RED
Badius,15,MODERATE RED
Brown Lake,15,MODERATE RED
Carmine,15,MODERATE RED
Carmine Lake,15,MODERATE RED
Carmine Rose,15,MODERATE RED
Corallinus,15,MODERATE RED
Dark Carmine,15,MODERATE RED
Dark Rose,15,MODERATE RED
Deep Rose,15,MODERATE RED
Dull Red,15,MODERATE RED
Insignia Red (AN),15,MODERATE RED
Lake,15,MODERATE RED
Red,15,MODERATE RED
Red(USA),15,MODERATE RED
Red,15,MODERATE RED
Rhodonite Red,15,MODERATE RED
Rose,15,MODERATE RED
Rose Red,15,MODERATE RED
Roseus,15,MODERATE RED
Scarlet,15,MODERATE RED
Vermilion,15,MODERATE RED
Alcazar,16,DARK RED
American Beauty,16,DARK RED
Aubusson,16,DARK RED
Autumn Glory,16,DARK RED
Burmese Ruby,16,DARK RED
Burnt Russet,16,DARK RED
Canyon,16,DARK RED
Cauldron,16,DARK RED
Chocolate Maroon,16,DARK RED
Chrysanthemum,16,DARK RED
Clove Pink,16,DARK RED
Cuba,16,DARK RED
Cuyhoga Red,16,DARK RED
Dark Cardinal,16,DARK RED
Dregs of Wine,16,DARK RED
Egyptian Red,16,DARK RED
Eureka Red,16,DARK RED
Flea,16,DARK RED
Garnet,16,DARK RED
Garnet Brown,16,DARK RED
Garnet Red,16,DARK RED
Grenat,16,DARK RED
Haematite Red,16,DARK RED
Malaga,16,DARK RED
Maroon,16,DARK RED
Mauverose,16,DARK RED
Moroccan,16,DARK RED
Morocco Red,16,DARK RED
Neutral Red,16,DARK RED
Old Amethyst,16,DARK RED
Old Roseleaf,16,DARK RED
Oporto,16,DARK RED
Peony,16,DARK RED
Peony Red,16,DARK RED
Pewke,16,DARK RED
Pigeon Blood,16,DARK RED
Plum Violet,16,DARK RED
Pomegranate,16,DARK RED
Puce,16,DARK RED
Puke,16,DARK RED
Purple Madder,16,DARK RED
Purple Rubiate,16,DARK RED
Raspberry..615,16,DARK RED
Redwood,16,DARK RED
Roselustre,16,DARK RED
Rubaiyat,16,DARK RED
Rubient,16,DARK RED
Ruby,16,DARK RED
Spanish Wine,16,DARK RED
Sultana,16,DARK RED
Tapestry Red,16,DARK RED
Turkish Crescent Red,16,DARK RED
Victoria Lake,16,DARK RED
Vineyard,16,DARK RED
Vin Rosfi,16,DARK RED
Wallflower (Brownl,16,DARK RED
Wild Cherry,16,DARK RED
Wild Raspberry,16,DARK RED
Wild Strawberry,16,DARK RED
Wine Dregs,16,DARK RED
Wine Lees,16,DARK RED
Egyptian Red,16,DARK RED
Garnet Rose,16,DARK RED
Profound,16,DARK RED
Tapestry Red,16,DARK RED
Victoria Lake,16,DARK RED
Brick Red g.. SA ne,16,DARK RED
Cardinal m. TA pc,16,DARK RED
Cherry Wine,16,DARK RED
Claret Wine,16,DARK RED
Dark Red,16,DARK RED
Dark Wine,16,DARK RED
Deep Red m. 7 A pc,16,DARK RED
Garnet,16,DARK RED
Light Garnet,16,DARK RED
Light Wine,16,DARK RED
Old Wine,16,DARK RED
Rose Wine,16,DARK RED
Ruby Wine,16,DARK RED
Strawberry Wine gm- 7 A pe,16,DARK RED
Wine,16,DARK RED
Wine Red,16,DARK RED
